CleanPD,0.000000,0.745340,0.000000,0.021590,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,148
smultin_CreateRes,0.000000,0.007999,0.000000,0.000232,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,203
MNCalcMuSigma,0.000000,0.008002,0.000000,0.000232,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,432
smultin_MultinomMuSigma,0.000000,0.008002,0.000000,0.000232,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,531
smultin_PowDivMom,0.000000,0.008002,0.000000,0.000232,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,754
smultin_GenerCellSerial,32.231729,59.820012,0.933635,1.732766,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,1039
smultin_CreateCollisions,0.006010,0.163060,0.000174,0.004723,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,1191
InitPowDiv,0.000000,0.008002,0.000000,0.000232,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,1406
CalcResultsPowDiv,0.000000,0.163060,0.000000,0.004723,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,1677
UpdateCountHash,917.150448,917.150448,26.566475,26.566475,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,1879
GenerAllPointsHash,17.226613,974.545005,0.498992,28.228984,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,1960
Multinom,3.872802,978.612873,0.112181,28.346815,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,2123
smultin_Multinomial,0.000000,978.612873,0.000000,28.346815,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\smultin.c,2300
svaria_WeightDistrib,75.253339,107.208124,2.179812,3.105425,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\svaria.c,516
InitRes,0.000000,0.002001,0.000000,0.000058,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\sstring.c,202
sstring_DeleteRes,0.000000,0.024061,0.000000,0.000697,framework64,c:\cygwin64\usr\local\src\misc\testu01x\src\stats\sstring.c,246
